Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
UNICO National St. Paul Chapter Annual Awards Dinner|St|1953, 1955, 1957, 1959, 1983||ita|eng,|P||N||||
The UNICO Newsletter|Bloomfield, NJ|1983-date||ita|eng,|P||N||||
L'Unità Operaia |New York, NY|1938||ita|eng|P||N|||Working-class Unity; previously in newspaper format|
United Italian American Labor Council Annual Conference|New York, NY|1963-1964, 1966-1968, 1970, 1975||ita|eng,ita,|P||N||||
Unity-Italiana|Milan, Italy|1966-1967||ita|ita,|P||N||||
L'Uomo Nuovo |New York, NY|1916-1917); microfilm: 1916-1917||ita|eng|M||N|||The New Man|
Il Veltro |New York, NY|1924-1925||ita|ita,eng|P||N|||The Greyhound; Italian Chamber of Labor|
The Vigo Review|New York, NY|1938||ita|eng,ita,|P||N||||
Vita |New York, NY|1915); microfilm: 1915||ita|eng|M||N|||Life|
Vita Parrocchiale |Milwaukee, WI|1936-1937, 1939-1941||ita|eng,|P||N|||Parochial Life|
La Voce del Tipografo |New York, NY|1936, 1938||ita|eng,ita,|P||N|||The Printer's Voice; New York Italian Typographical Union|
La Voce dello Schiavo |Tampa, FL|1900-1901); microfilm: 1900-1901||ita|spa,eng|M||N|||The Slave's Voice|
Voce Italiana |Washington, DC|1971-1974||ita|eng,ita,|P||N|||Italian Voice|
Il Vomero |Philadelphia, PA|1940||ita|eng|P||N|||The Plowpoint|
Washington Newsletter|Washington, DC|1977-date||ita|eng,|P||N||||
La Zotta |1939), St|1939-1940||ita|eng,|P||N|||consolidated with East End Journal|
