Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Kalendarz Sw. Piotra Klawera |St|1933, 1935-1939, 1960, 1965-1975||pol|eng|P||N|||St. Peter Klawer's Calendar|
Kalendarz Swiatowego Zwiazku Polaków z Zagranicy |Warsaw, Poland|1938-1939||pol|eng|P||N|||Calendar of the World Union of Poles from Abroad|
Kalendarz Uniwersalny |Vimperk, Czechoslovakia|1908, 1912, 1915, 1918-1919, 1923, 1925, 1928-1929||pol|cze,eng|P||N|||Universal Calendar|
Kalendarz Warszawski |Warsaw, Poland|1946||pol|eng|P||N|||Warsaw Calendar|
Kalendarz Wszechswiatowy |Vimperk, Czechoslovakia|1927||pol|cze,eng|P||N|||All-World Calendar|
Kalendarz Zwiazkowy |Chicago, IL|1912-1915, 1922, 1924, 1936, 1938, 1941, 1943-1944, 1946-1949, 1951-1980||pol|pol,eng|P||N|||Polish National Alliance Yearbook|
The Kantian|Erie, PA|1954, 1960||pol|eng,|P||N||||
Kantowianin |Indiana Harbor, IN|1929-1930||pol|eng,|P||N|||The Kantowian|
The Kapustkan|Chicago, IL|1941||pol|eng,|P||N||||
Kazalnica |New Castle, PA|1941, 1943-1945||pol|eng|P||N|||The Pulpit|
Kazalnica Popularna |Orchard Lake, MI|1937-1939, 1943-1944||pol|eng|P||N|||The Popular Pulpit|
The Keynote|South Bend, IN|1979||pol|eng,|P||N||||
Kombatant w Ameryce |New York, NY|1956-date||pol|eng,pol,|P||N|||Quarterly of the Polish Veterans of World War II|
Komitet Narodowy Amerykanów Pochodzenia Polskiego Biuletyn |Inc|1945, 1948||pol|eng,pol,|P||N|||National Committee of Americans of Polish Descent|
Konfederacja |Irvington, NJ|1976-1978||pol|eng|P||N|||Confederation|
Kontakt |Paris, France|1985-1987||pol|eng|P||N|||Contact|
