Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Sloga |South Slavic Benevolent Union Sloga), Milwaukee, WI|1942, 1951, 1963-1965, 1969-date||slv|eng,|P||N|||Harmony; Sloga Fraternal Life Insurance Society; earlier issues titled Sloga; Official Lodge News|
Slomskov List |Rome, Italy|1964-1966||slv|eng|P||N|||Slomsk Gazette|
Slovene Diary |Toronto, Ontario, Canada|1976-1979||slv|eng|P||N|||previously titled Dnevnik Diary|
Slovene National Benefit Society Constitution and By-Laws|Chicago, IL|1907(?), 1933, 1937, 1942, 1951, 1959-1962||slv|eng,|P||N||||
Slovene National Benefit Society Proceedings of the Regular Convention|Chicago, IL|1925, 1929, 1933, 1937, 1941, 1946, 1950, 1954, 1958||slv|eng,|P||N||||
Slovene National Benefit Society Reports of the Supreme Officers to the Regular Convention|Chicago, IL|1925, 1929, 1933, 1950||slv|eng,|P||N||||
Slovene National Benefit Society Roster of Lodges|Federations, Juvenile Circles and Juvenile Directors, Chicago, IL|1939-1941, 1943, 1949-1952||slv|eng,|P||N||||
Slovene Studies Journal |New York, NY|1979-1982||slv|eng,|P||N|||continuation of Papers in Slovene Studies and Society for Slovene Studies Newsletter|
Slovenian Research Center of America Newsletter|Wickliffe, OH|1974-1975||slv|eng,slv,|P||N||||
Return to Top||||slv||P||N||||
The Slovenian Review |Chicago, IL|1917-1919||slv|eng,slv,|P||N|||Slovenian Republican Alliance|
Slovenian Women's Union of America Constitution|By-Laws and Regulations, Chicago, IL|||slv|eng,slv,|P||N||||
Slovenska Narodna Zveza |Chicago, IL|1952-1954||slv|slv,eng|P||N|||Slovenian National Unity|
Slovenska Beseda |Buenos Aires, Argentina|1949-1958||slv|slv,eng|P||N|||Slovenian Word|
Slovenska Druzina |Cleveland, OH (previously published in Calumet, MI)|1918-1919||slv|slv,eng|P||N|||The Slovenian Family|
Slovenska Knjiga u Domovini in Tujini |Cleveland, OH|1952-1957||slv|slv,eng|P||N|||Slovenian Book at Home and Abroad|
Slovenska Pisarna |Cleveland, OH|1956||slv|slv,eng|P||N|||Slovenian Writing|
Slovenska Pot |Buenos Aires, Argentina|1954-1955||slv|slv,eng|P||N|||Slovenian Path|
Slovenska Pravica |Chicago, IL (previously published in Barberton, OH)|1949-1950||slv|slv,eng|P||N|||The Slovenian Justice|
Slovenski Gladiator |Milwaukee, WI|1927-1928); microfilm: 1927-1928||slv|slv,eng|M||N|||Slovenian Gladiator|
Return to Top||||slv||P||N||||
Slovenski Ilustrovani List |New York, NY|1913); microfilm: 1913||slv|slv,eng|M||N|||Slovenian Illustrated Gazette|
Slovenski Koledar |Ljubljana, Yugoslavia|1954-1961, 1963-date||slv|slv,eng|P||N|||Slovenian Calendar; previously titled Slovenski Izseljenski Koledar|
Slovenski Visokosolski Zbornik |place of publication varies|1956-1960||slv|slv,eng|P||N|||Slovenian High School Register|
Slovensko-Amerikanski Koledar |New York, NY|Amerikansko-Slovenski Koledar), New York, NY||slv|slv,eng|P||N|||Slovenian-American Calendar; title varies: Amerikansko-Slovenski Koledar|
Smer v Slovensko Drzavo |Buenos Aires, Argentina|1966||slv|spa,slv,eng|P||N|||The Direction into the Slovenian State|
Socialisticna Zarja |Cleveland, OH|1922); microfilm: 1922||slv|eng|M||N|||Socialist Dawn|
Society for Slovene Studies Letter|New York, NY|1979-1980||slv|eng,|P||N||||
Society for Slovene Studies Newsletter|New York, NY|1973-1978||slv|eng,|P||N||||
Stvarnost; Neodvisna Slovenska Revija |Trieste, Italy|||slv|slv,eng|P||N|||Reality; Independent Slovenian Review|
Svetovna Vojna |New York, NY|1914); microfilm: 1914||slv|eng|M||N|||The World's War|
Return to Top||||slv||P||N||||
Svoboda |Berwyn, IL (previously published in Chicago, IL)|1930, 1934||slv|eng|P||N|||Liberty; Jugoslav Cultural Society|
Svoboda; Marksisticni Mesecnik |Ljubljana, Yugoslavia/Chicago, IL|1929-1935||slv|eng|P||N|||Liberty; The Marxist Monthly|
Svobodna Misel |Prague-Vinograd, Czechoslovakia|1908-1912||slv|cze,eng|P||N|||The Free Thought|
Tertiary Thoughts |Lemont, IL|1953-1957||slv|eng,|P||N|||Franciscan Fathers of the Commissariat of the Holy Cross|
V Novo Bodocnost |Lemont, IL|1950||slv|eng,|P||N|||Into the New Future; St. Mary's Seminary|
Vestnik |New York, NY|1909); microfilm: 1909||slv|eng|M||N|||The Chronicle|
Vestnik |Pueblo, CO|1932); microfilm: 1932||slv|eng,|M||N|||The Herald|
Vestnik "SAVE" |Slovenian Academic Society in America), Toronto, Ontario, Canada|1959-1963||slv|slv,eng|P||N|||Herald|
Voice of Youth |Burr Ridge/Chicago, IL|1922, 1927-1944, 1946-1948, 1950, 1959-1961, 1967-1975, 1997-2010; microfilm: 1924-1980||slv|eng,|M||N|||previously titled Mladinski List; Slovene National Benefit Society Youth|
Zarja |Chicago, IL|1929-date||slv|eng,|P||N|||The Dawn|
Return to Top||||slv||P||N||||
Zbornik Obcine Grosuplje |Grosuplje, Yugoslavia|1982, 1984, 1986||slv|eng|P||N|||The Register of the Municipality of Grosuplje|
Zbornik Svobodne Slovenije |Argentina|Koledar Svobodna Slovenija; Zbornik Koledar Svobodne Slovenije) Buenos Aires, Argentina||slv|eng|P||N|||The Register of Free Slovenia; title varies: Koledar Svobodna Slovenija; Zbornik Koledar Svobodne Slovenije|
Zgodnja Danica |Ljubljana, Yugoslavia|1849-1850, 1855-1857, 1860-1877, 1895-1898, 1901-1903||slv|eng|P||N|||Early Morning Star|
Zivljenje in Svet |Ljubljana, Yugoslavia|1928||slv|eng|P||N|||Life and World|
Zveze Bivsih Slovenskih Protikomunisticnih Borcev Vestnik |Buenos Aires, Argentina|1957-1960||slv|eng|P||N|||Alliances of the Former Anticommunist Fighters Newsletter|
Yugoslav||||slv||P||N||||
Balkan and Eastern European American Genealogical and Historical Society|San Francisco, CA|1964-1966||slv|eng,|P||N||||
The Florida State University Center for Yugoslav-American Studies Proceedings and Reports |Tallahassee, FL|1972-1977||slv|eng,|P||N|||previously titled The Florida State University Slavic Papers|
The Florida State University Joint Yugoslav-American Advisory Council Proceedings and Reports|Tallahassee, FL|1978-1979||slv|eng,|P||N||||
Jugoslav Review|New York|1923); microfilm: 1923||slv|hrv,slv,-scc,|M||N||||
Jugoslaven |Västerås, Sweden|1979||slv|eng,hrv,|P||N|||The Yugoslav|
Return to Top||||slv||P||N||||
Jugoslavia Kalendar |Chicago, IL|1939||slv|eng,slv,|P||N|||Yugoslavia Calendar|
Kolo|New York, NY|1924||slv|slv,|P||N||||
Medunardoni Problemi |Belgrade, Yugoslavia|1982||slv|hrv,-scc,eng|P||N|||International Problems|
Nas Kalendar |Toronto, Ontario, Canada|1958||slv|slv,eng|P||N|||Our Calendar|
Sokolski Vesnik |Milwaukee, WI|1967-1975, 1980-1984||slv|hrv,slv,-scc,eng|P||N|||Sokol Herald|
T & T |Milford, NJ|1945-1948, 1950||slv|eng,|P||N|||formerly Today and Tomorrow|
The Tamburitzan|Pittsburgh, PA|1959-1961, 1976||slv|eng,|P||N||||
That's Yugoslavia |Hamburg, West Germany|1982||slv|eng,ger,|P||N|||supplement to Hrvatska Domovina|
United Committee of South-Slavic Americans Bulletin|New York, NY|1943-1946||slv|eng,|P||N||||
United Yugoslav Relief Fund of America News Bulletin |New York, NY|1941-1945||slv|eng,|P||N|||previously titled Yugoslav News Bulletin|
Yugoslav-American Academic Association of the Pacific Bulletin|Palo Alto, CA|1977||slv|eng,|P||N||||
Yugoslav-American Society Newslettter|Minneapolis, MN|1987-date||slv|eng,|P||N||||
Yugoslav Facts and Views|New York, NY|1975-1981||slv|eng,|P||N||||
Yugoslavia Ministarstvo Socijalne Politike Iseljenicki Odsek Iseljenicka Sluzba: Izvestaj Narodnoj Skupstini |Belgrade, Yugoslavia|Izvestaj Narodnoj Skupstini (Yugoslav Ministry of Social Policy Emigration Department Emigration Service: Report to National Assembly), Belgrade, Yugoslavia||slv|hrv,-scc,eng|P||N|||Yugoslav Ministry of Social Policy Emigration Department Emigration Service: Report to National Assembly|
