Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Latvijas Ev.-Lut. Baznicas Gada Gramata un Kalendars |Glenview, IL (previously published in Esslingen am Neckar, West Germany)|1952-1962, 1965, 1967, 1969-1970, 1972-1976, 1978-1983||lav|ger,lav,eng|P||N|||Latvian Evangelical-Lutheran Church Yearbook and Calendar|
Latvijas Lakstigala |Minneapolis/St|||lav|eng|P||N|||The Nightingale of Latvia|
Latvju Domas |Augsburg, Germany|1947||lav|ger,lav,eng|P||N|||Latvian Thoughts|
Latvju Maksla |Rockville, MD|1975-1983||lav|lav,eng|P||N|||Latvian Art|
Latvju Muzika |Kalamazoo, MI|1968-1983||lav|lav,eng|P||N|||Latvian Music|
Latvju Sports |Lübeck, Germany|1945-1949||lav|ger,lav,eng|P||N|||Latvian Sport|
Latvju Vieglatlets |Fort Wayne, IN (later published in Milwaukee, WI)|1963-1966||lav|lav,eng|P||N|||Latvian Athletic Magazine|
Latvju Zeltene; Rokdarbu Menesraksts Latvju |Munich, Germany (later published in Adelaide, Australia and Eutin, Germany)|1948-1949, 1951-1954, 1958, 1966, 1968, 1970||lav|ger,lav,eng|P||N|||Latvian Maiden; Needlework Monthly|
Latvju Zurnals |New York, NY|1951-1956||lav|lav,eng|P||N|||Latvian Journal|
Libekas Vestnesis |Lübeck, Germany|1945-1946||lav|ger,eng|P||N|||Lübeck Herald|
Linkolnas Vestnesis |Lincoln, NE|1953-1959||lav|eng|P||N|||Lincoln Herald|
Los Andzelosas Dziesmu Svetku Zinas |Monterey Park, CA|1969-1970||lav|eng|P||N|||Los Angeles Song Festival News|
Majas Draugs |Chicago, IL|1949-1955||lav|eng|P||N|||Friend of the Home|
Manas Draudzes Zinotajs |Boston, MA|1952-1958, 1960||lav|eng|P||N|||My Congregation's News; title changed to Mana Draudze after 1961|
Mancesteras Latviesu Ev.-Lut. Draudzes Zinas |Manchester, CT|1956-1958, 1960-1964, 1966-1967, 1969-date||lav|lav,eng|P||N|||Manchester Latvian Evangelical-Lutheran Church News|
Mazputnins |Willowdale, Ontario, Canada (previously published in Kalamazoo, MI)|1959, 1961-1962, 1964-1969, 1971-1980||lav|lav,eng|P||N|||Little Bird; Latvian Youth Literary Society|
Memmingenas Zinu Biletens |Memmingen, Germany|1948||lav|ger,lav,eng|P||N|||Latvian News Bulletin in Memmingen|
Mes |Kalamazoo, MI (previously published in Winnipeg, Manitoba, Canada and Niagara Falls, NY), Frequency varies: 1960-1968|1960-1968||lav|eng|P||N|||We; previously titled Celinieks|
Meza Vestis |Vallingby, Sweden (previously published in Fischbach, West Germany)|||lav|ger,eng|P||N|||Forestry News; previously titled Meza Darbinieku Vestis|
